Name of Entity,Dates of Breach,Type of Breach,Individuals Affected,State Reported,Start Date of Breach
"Clif Bar Family Winery &amp; Farm, LLC",6/11/2015,hackers,58 (in Maryland),Maryland,2015-06-11 00:00:00
Rombauer Vineyards,6/11/2015,hackers, (in Maryland),Maryland,2015-06-11 00:00:00
Garden Creek Ranch,6/11/2015,hackers,9 (in Maryland),Maryland,2015-06-11 00:00:00
Signorello Estate,6/11/2015,hackers,26 (in Maryland),Maryland,2015-06-11 00:00:00
Kanzler Vineyards,6/11/2015,hackers,9 (in Maryland),Maryland,2015-06-11 00:00:00
Charles Krug Winery,6/11/2015,hackers,49 (in Maryland),Maryland,2015-06-11 00:00:00
"Clif Bar Family Winery &amp; Farm, LLC",6/11/2015,hackers,58 (in Maryland),Maryland,2015-06-11 00:00:00
Heitz Wine Cellars,6/11/2015,hackers,86 (in Maryland),Maryland,2015-06-11 00:00:00
Frias Family Vineyards,6/11/2015,hackers,18 (in Maryland),Maryland,2015-06-11 00:00:00
Gemstone Vineyards,6/11/2015,hackers,1 (in Maryland),Maryland,2015-06-11 00:00:00
Summers Estate Wines,6/11/2015,hackers,29 (in Maryland),Maryland,2015-06-11 00:00:00
Round Pound Estate,6/11/2015,hackers,166 (in Maryland),Maryland,2015-06-11 00:00:00
Turley Wine Cellars,6/12/2015,hackers,252 (in Maryland),Maryland,2015-06-12 00:00:00
Turley Wine Cellars,6/12/2015,hackers,252 (in Maryland),Maryland,2015-06-12 00:00:00
Peter Michael Winery,6/15/2015,hackers,119 (in Maryland),Maryland,2015-06-15 00:00:00
Spring Mountain Vineyard,6/15/2015,hacking, (in Maryland),Maryland,2015-06-15 00:00:00
Spring Mountain Vineyard,6/15/2015,hacking, (in Maryland),Maryland,2015-06-15 00:00:00
Fisher Vineyards,6/15/2015,hacking,23 (in Maryland),Maryland,2015-06-15 00:00:00
Jemrose Wines,6/15/2015,hackers,3 (in Maryland),Maryland,2015-06-15 00:00:00
Silverado Vineyards,6/15/2015,hackers,79 (in Maryland),Maryland,2015-06-15 00:00:00
"Huneeus Vintners, LLC",6/15/2015,hacking,218 (in Maryland),Maryland,2015-06-15 00:00:00
"T. Rowe Price Retirement Plan Services, Inc.",6/16/2015,improper access by former employee,5 (in Maryland),Maryland,2015-06-16 00:00:00
Vineyard House Winery,6/16/2015,hacking,7 (in Maryland),Maryland,2015-06-16 00:00:00
Collected Intelligence,6/19/2015,stolen laptop,1 (in Maryland),Maryland,2015-06-19 00:00:00
State Farm Mutual Aotomobil Company,6/19/2015,internal system error,29 (in Maryland),Maryland,2015-06-19 00:00:00
Medical Informatics Engineering,6/19/2015,hackers, (in Maryland),Maryland,2015-06-19 00:00:00
"Dungarees, LLC",6/19/2015,malicious code/ hacking,175 (in Maryland),Maryland,2015-06-19 00:00:00
Medical Informatics Engineering,6/19/2015,hackers, (in Maryland),Maryland,2015-06-19 00:00:00
"COA Network, Inc.",6/22/2015,hacking,169 (in Maryland),Maryland,2015-06-22 00:00:00
Montefiore Health System,6/22/2015,information stolen by former employee, (in Maryland),Maryland,2015-06-22 00:00:00
"LC Industries, Inc.",6/22/2015,malicious code,68 (in Maryland),Maryland,2015-06-22 00:00:00
Miami Dade College,6/22/2015,improper access by former employee,1 (in Maryland),Maryland,2015-06-22 00:00:00
"Manchester Hotel Hospitality, LLC",6/23/2015,hacking,9 (in Maryland),Maryland,2015-06-23 00:00:00
Genius Central,6/24/2015,malware,2 (in Maryland),Maryland,2015-06-24 00:00:00
Trustmark Mutual Holding Company,6/29/2015,info inadvertently emailed to wrong recipients due to software error,19 (in Maryland),Maryland,2015-06-29 00:00:00
LPL Financial LLC,7/2/2015,employee employed an unlicensed individual to perform tax and administrative services, (in Maryland),Maryland,2015-07-02 00:00:00
AonHewitt,7/2/2015,information inadvertently accessible,1 (in Maryland),Maryland,2015-07-02 00:00:00
"Automotive Recovery Services, Inc. DBA Vehicle Donation PRocessing Center",7/2/2015,malware on server,"17,215 (in Maryland)",Maryland,2015-07-02 00:00:00
FIreKeepers Casino Hotel,7/2/2015,unauthorized access to file storage server,11 (in Maryland),Maryland,2015-07-02 00:00:00
AonHewitt,7/2/2015,information inadvertently accessible,1 (in Maryland),Maryland,2015-07-02 00:00:00
"Calibre CPA Group, PLLC",7/2/2015,backpack stolen from car,57 (in Maryland),Maryland,2015-07-02 00:00:00
M&amp;T Bank (Identity Theft),7/3/2015,documents inadvertently emailed to wrong person,2 (in Maryland),Maryland,2015-07-03 00:00:00
Latex Construction Company,7/7/2015,ipad stolen from vehicle,1 (in Maryland),Maryland,2015-07-07 00:00:00
National American University,7/8/2015,improper access,1 (in Maryland),Maryland,2015-07-08 00:00:00
Mandarin Oriental,7/10/2015,malware attack,390 (in Maryland),Maryland,2015-07-10 00:00:00
Amsterdam Nursing Home Corporation,7/10/2015,fire at storage facility where documents stored,4 (in Maryland),Maryland,2015-07-10 00:00:00
Hershey ENtertainmen &amp; Resorts Company,7/10/2015,malware,"3,201 (in Maryland)",Maryland,2015-07-10 00:00:00
Nexient LLC,7/10/2015,laptop stolen from car,3 (in Maryland),Maryland,2015-07-10 00:00:00
Alfa Specialty Insurance Corporation,7/10/2015,information inadvertently made accessible to the internet,220 (in Maryland),Maryland,2015-07-10 00:00:00
Boston University,7/13/2015,hackers,3 (in Maryland),Maryland,2015-07-13 00:00:00
"Insurance Services Office, Inc.",7/13/2015,improper access by former police officer,3 (in Maryland),Maryland,2015-07-13 00:00:00
"New Horizons Computer Learning Centers, Inc.",7/13/2015,hacker,8 (in Maryland),Maryland,2015-07-13 00:00:00
Fahrenheit Group,7/16/2015,unauthorized access to the Fahrenheit Group&#39;s payroll platform,9 (in Maryland),Maryland,2015-07-16 00:00:00
UCLA&nbsp; Health System,7/17/2015,cyberattack,"3,046 (in Maryland)",Maryland,2015-07-17 00:00:00
Ransomed Heart Ministries,7/17/2015,malicious software,19 (in Maryland),Maryland,2015-07-17 00:00:00
North Carolina State University,7/20/2015,data housed on a university computer server was accessed by an unauthorized person,20 (in Maryland),Maryland,2015-07-20 00:00:00
Maryland Department of Human Resources,7/21/2015,unencrypted file posted to DHR&#39;s intranet,"11,549 (in Maryland)",Maryland,2015-07-21 00:00:00
Maryland Department of Human Resources,7/21/2015,unencrypted file posted to DHR&#39;s intranet,"11,549 (in Maryland)",Maryland,2015-07-21 00:00:00
The Arc Northern Chesapeake Region,7/22/2015,information faxed to incorrect number,37 (in Maryland),Maryland,2015-07-22 00:00:00
YMCA of Greater Pittsburgh,7/23/2015,files inadvertently placed in recycling bin,5 (in Maryland),Maryland,2015-07-23 00:00:00
New Enterprise Associates,7/23/2015,laptop stolen from home of employee,1 (in Maryland),Maryland,2015-07-23 00:00:00
"The Pennsylvania State University, Greater Allegheny Campus",7/24/2015,malicious software,15 (in Maryland),Maryland,2015-07-24 00:00:00
HSBC,7/27/2015,info inadvertently sent to wrong party,41 (in Maryland),Maryland,2015-07-27 00:00:00
Richard A. Berger,7/27/2015,"name, tax info, ssn", (in Maryland),Maryland,2015-07-27 00:00:00
"Woodbury Financial Services, Inc.",7/27/2015,phishing scam,1 (in Maryland),Maryland,2015-07-27 00:00:00
"<a href=""http://www.shorepowerinc.com"">www.shorepowerinc.com</a>",7/29/2015,malicious code, (in Maryland),Maryland,2015-07-29 00:00:00
Principal Financial Group,8/3/2015,info mailed to incorrect address,1 (in Maryland),Maryland,2015-08-03 00:00:00
Principal Financial Group,8/3/2015,info mailed to incorrect address,1 (in Maryland),Maryland,2015-08-03 00:00:00
Principal Financial Group,8/3/2015,info mailed to incorrect address,1 (in Maryland),Maryland,2015-08-03 00:00:00
"SMS Hospitality, LLC d/b/a SMS Hospitality",8/5/2015,data capture device connected to computer,8 (in Maryland),Maryland,2015-08-05 00:00:00
Nationwide,8/6/2015,info inadvertently included in an email,27 (in Maryland),Maryland,2015-08-06 00:00:00
"GreenWave Scientific, Inc.",8/10/2015,malicious code, (in Maryland),Maryland,2015-08-10 00:00:00
Follett Corporation,8/10/2015,hackers, (in Maryland),Maryland,2015-08-10 00:00:00
Follett Corporation,8/10/2015,hackers, (in Maryland),Maryland,2015-08-10 00:00:00
T-Mobile,8/11/2015,a former T-Mobile service partner employee captured credit card numbers stored in customer order systems,1 (in Maryland),Maryland,2015-08-11 00:00:00
Maryland Department of Human Resources,8/11/2015,letter mistakenly sent to wrong address,4 (in Maryland),Maryland,2015-08-11 00:00:00
Newton Running,8/11/2015,hacking,4 (in Maryland),Maryland,2015-08-11 00:00:00
"Gallagher Bassett Services, Inc.Â",8/13/2015,stolen laptop,1 (in Maryland),Maryland,2015-08-13 00:00:00
Follet Corporation,8/14/2015,hacking,1 (in Maryland),Maryland,2015-08-14 00:00:00
University of Connecticut,8/14/2015,info inadvertently publicly available online,5 (in Maryland),Maryland,2015-08-14 00:00:00
"Milestone Hospitality Management, LLC",8/14/2015,malware,160 (in Maryland),Maryland,2015-08-14 00:00:00
"Quad/Graphics, Inc.",8/17/2015,inadvertent email,4 (in Maryland),Maryland,2015-08-17 00:00:00
Totally Promotional,8/17/2015,unauthorized access,46 (in Maryland),Maryland,2015-08-17 00:00:00
Today&#39;s Dental Associates,8/17/2015,info removed by former employee, (in Maryland),Maryland,2015-08-17 00:00:00
"Ascensus, Inc.",8/18/2015,info inadvertently uploaded to file transfer site, (in Maryland),Maryland,2015-08-18 00:00:00
Web.com,8/18/2015,hacking,"20,577 (in Maryland)",Maryland,2015-08-18 00:00:00
"VMware, inc.",8/19/2015,unauthorized access by third party, (in Maryland),Maryland,2015-08-19 00:00:00
"Citibank, N.A.",8/20/2015,improper access by employee,1 (in Maryland),Maryland,2015-08-20 00:00:00
"Lin R. Rogers Electrical Contractors, Inc. d/b/a Rogers Electric",8/20/2015,recently terminated employee sent copies of payroll information to a personal email address,19 (in Maryland),Maryland,2015-08-20 00:00:00
Milk Nursingwear,8/20/2015,hacking, (in Maryland),Maryland,2015-08-20 00:00:00
Columbia Eye Care,8/21/2015,safe stolen from office,20 (in Maryland),Maryland,2015-08-21 00:00:00
"Interline Brands, Inc.",8/21/2015,unauthorized access to server, (in Maryland),Maryland,2015-08-21 00:00:00
W. T. Burnett &amp; Co./ STX,8/21/2015,hacking,21 (in Maryland),Maryland,2015-08-21 00:00:00
CareFirst,8/24/2015,faxed info to wrong number,1 (in Maryland),Maryland,2015-08-24 00:00:00
"TD Bank, N.A.",8/24/2015,improper access by employee,3 (in Maryland),Maryland,2015-08-24 00:00:00
"ACE Surgical Supply Co., Inc.",8/25/2015,hacking,89 (in Maryland),Maryland,2015-08-25 00:00:00
Genworth,8/25/2015,unauthorized access,3 (in Maryland),Maryland,2015-08-25 00:00:00
Olympia Hotel Management,8/27/2015,malware,61 (in Maryland),Maryland,2015-08-27 00:00:00
Fideility Investments,8/27/2015,administrative error,1 (in Maryland),Maryland,2015-08-27 00:00:00
Aon Corporation,8/27/2015,info inadvertently included in mail,1 (in Maryland),Maryland,2015-08-27 00:00:00
"Viewpoint, Inc. dba Viewpoint Construction Software",8/28/2015,hackers, (in Maryland),Maryland,2015-08-28 00:00:00
"Viewpoint, Inc. dba Viewpoint Construction Software",8/28/2015,hackers, (in Maryland),Maryland,2015-08-28 00:00:00
"Viewpoint, Inc. dba Viewpoint Construction Software",8/28/2015,hackers, (in Maryland),Maryland,2015-08-28 00:00:00
eMinor Incorporated d/b/a ReverbNation,8/31/2015,hacking,9 (in Maryland),Maryland,2015-08-31 00:00:00
eMinor Incorporated d/b/a ReverbNation,8/31/2015,hacking,9 (in Maryland),Maryland,2015-08-31 00:00:00
Hawaii First Federal Credit Union,8/31/2015,unauthorized access to an employee&#39;s email account, (in Maryland),Maryland,2015-08-31 00:00:00
"Lando Law Firm, LLC",9/2/2015,unauthorized access to email account,4 (in Maryland),Maryland,2015-09-02 00:00:00
Family Investment Administration,9/4/2015,letter mistakenly mailed to wrong address,1 (in Maryland),Maryland,2015-09-04 00:00:00
AWashington National Insurance Company,9/8/2015,unauthorized access by employee,1 (in Maryland),Maryland,2015-09-08 00:00:00
The Lifetime Healthcare Companies,9/9/2015,cyber-attack, (in Maryland),Maryland,2015-09-09 00:00:00
"CVS Pharmacy, Inc.",9/11/2015,hacking, (in Maryland),Maryland,2015-09-11 00:00:00
"American Stock Transfer &amp; Trust Company, LLC",9/14/2015,software error,1 (in Maryland),Maryland,2015-09-14 00:00:00
Ocwen Financial Corporation,9/15/2015,info mistakenly emailed to wrong person,1 (in Maryland),Maryland,2015-09-15 00:00:00
Ocwen Financial Corporation,9/15/2015,info mistakenly emailed to wrong person,1 (in Maryland),Maryland,2015-09-15 00:00:00
"Yapstone, Inc.",9/15/2015,Yapstone URL vulnerability,"2,690 (in Maryland)",Maryland,2015-09-15 00:00:00
Costco,9/17/2015,malware on Costco Photo Center, (in Maryland),Maryland,2015-09-17 00:00:00
"Scottrade, Inc.",9/21/2015,tax forms inadvertently mailed to wrong address,28 (in Maryland),Maryland,2015-09-21 00:00:00
Bed Bath &amp; Beyond Inc.,9/21/2015,skimming device,10 (in Maryland),Maryland,2015-09-21 00:00:00
MassMutual Financial Group,9/23/2015,info inadvertently sent via email,1 (in Maryland),Maryland,2015-09-23 00:00:00
Ride Aid Corporation,9/23/2015,malware,"1,483 (in Maryland)",Maryland,2015-09-23 00:00:00
"M&amp;R Strategic Services, Inc.",9/23/2015,unauthorized access to finance department email account,1 (in Maryland),Maryland,2015-09-23 00:00:00
"<a href=""http://www.padlocks4less.com"">www.padlocks4less.com</a>",9/23/2015,malware,14 (in Maryland),Maryland,2015-09-23 00:00:00
MassMutual Financial Group,9/23/2015,info inadvertently sent via email,1 (in Maryland),Maryland,2015-09-23 00:00:00
"<a href=""http://www.padlocks4less.com"">www.padlocks4less.com</a>",9/23/2015,malware,14 (in Maryland),Maryland,2015-09-23 00:00:00
Trump Hotel Collection,9/28/2015,malware, (in Maryland),Maryland,2015-09-28 00:00:00
SmartLab Toys,9/28/2015,hacking,5 (in Maryland),Maryland,2015-09-28 00:00:00
"Kohl&#39;s Department Stores, Inc.",9/29/2015,call center employee capturing information for unauthorized purposes,3 (in Maryland),Maryland,2015-09-29 00:00:00
"Teach for America, Inc.",9/30/2015,USB drive and a password-protected laptop stolen from a vehicle,3 (in Maryland),Maryland,2015-09-30 00:00:00
"Teach for America, Inc.",9/30/2015,laptop stolen from vehicle,1 (in Maryland),Maryland,2015-09-30 00:00:00
"T-Mobile USA, Inc.",10/1/2015,hacking,"391,271 (in Maryland)",Maryland,2015-10-01 00:00:00
"Schwab Retirement Plan Services, Inc.",10/1/2015,info inadvertently emailed,106 (in Maryland),Maryland,2015-10-01 00:00:00
"T-Mobile USA, Inc.",10/1/2015,hacking,"391,271 (in Maryland)",Maryland,2015-10-01 00:00:00
"Scottrade, Inc.",10/1/2015,hacking,"122,387 (in Maryland)",Maryland,2015-10-01 00:00:00
Northwest Georgia Housing Authority,10/2/2015,info publicly posted to bulletin board,1 (in Maryland),Maryland,2015-10-02 00:00:00
John Carroll University,10/5/2015,malware,1 (in Maryland),Maryland,2015-10-05 00:00:00
Red Dress Boutique,10/6/2015,hacking,7 (in Maryland),Maryland,2015-10-06 00:00:00
PNC,10/7/2015,employee who released personal information to an unauthorized party,7 (in Maryland),Maryland,2015-10-07 00:00:00
"Samela, Inc. DBA NorthShore Care Supply",10/8/2015,malware,257 (in Maryland),Maryland,2015-10-08 00:00:00
"Samela, Inc. DBA NorthShore Care Supply",10/8/2015,malware,257 (in Maryland),Maryland,2015-10-08 00:00:00
GlamGlow LLC,10/8/2015,unauthorized access to website, (in Maryland),Maryland,2015-10-08 00:00:00
Peppermill Casinos Inc.,10/9/2015,hackers, (in Maryland),Maryland,2015-10-09 00:00:00
Peggy Olson,10/9/2015,computer virus allowing unauthorized access,5 (in Maryland),Maryland,2015-10-09 00:00:00
Dow Jones,10/9/2015,unauthorized server access,59 (in Maryland),Maryland,2015-10-09 00:00:00
"Spring Mountain Captial, LP",10/9/2015,Independent auditor inadvertently sent files containing draft tax forms to unintended recipient,1 (in Maryland),Maryland,2015-10-09 00:00:00
"Service Systems Associates, Inc.",10/13/2015,malware/ hacking, (in Maryland),Maryland,2015-10-13 00:00:00
"Service Systems Associates, Inc.",10/13/2015,malware/ hacking, (in Maryland),Maryland,2015-10-13 00:00:00
Schlage Lock Company,10/13/2015,laptop stolen from vehicle, (in Maryland),Maryland,2015-10-13 00:00:00
Stonebridge Life Insurance Co.,10/13/2015,info inadvertently sent via email,1 (in Maryland),Maryland,2015-10-13 00:00:00
Schlage Lock Company,10/13/2015,laptop stolen from vehicle, (in Maryland),Maryland,2015-10-13 00:00:00
"Anthem, Inc.",10/16/2015,document improperly displayed on website,1 (in Maryland),Maryland,2015-10-16 00:00:00
"EyeBuyDirect, Inc.",10/19/2015,hacking, (in Maryland),Maryland,2015-10-19 00:00:00
OsteoMed,10/21/2015,former employee improperly copied info,6 (in Maryland),Maryland,2015-10-21 00:00:00
LPL Financial LLC,10/22/2015,stolen laptop,1 (in Maryland),Maryland,2015-10-22 00:00:00
Noble House Hotels and Resorts,10/22/2015,malware,461 (in Maryland),Maryland,2015-10-22 00:00:00
Noble House Hotels and Resorts,10/22/2015,malware,461 (in Maryland),Maryland,2015-10-22 00:00:00
Noble House Hotels and Resorts,10/22/2015,malware,461 (in Maryland),Maryland,2015-10-22 00:00:00
Noble House Hotels and Resorts,10/22/2015,malware,461 (in Maryland),Maryland,2015-10-22 00:00:00
"Stoner Bunting Advertising, Inc.",10/23/2015,malware,11 (in Maryland),Maryland,2015-10-23 00:00:00
"Accuform Manufacturing, Inc.",10/26/2015,hacking, (in Maryland),Maryland,2015-10-26 00:00:00
Uber,10/26/2015,software bug briefly and intermittently made info available to other users of the website, (in Maryland),Maryland,2015-10-26 00:00:00
Uber,10/26/2015,software bug briefly and intermittently made info available to other users of the website, (in Maryland),Maryland,2015-10-26 00:00:00
Interstitial Cystitis Network,10/27/2015,hackers,33 (in Maryland),Maryland,2015-10-27 00:00:00
Interstitial Cystitis Network,10/27/2015,hackers,33 (in Maryland),Maryland,2015-10-27 00:00:00
"Digital Theatre, LLC",10/29/2015,malware,"1,609 (in Maryland)",Maryland,2015-10-29 00:00:00
"Intuit, Inc.",10/29/2015,unauthorized access to customer information,2 (in Maryland),Maryland,2015-10-29 00:00:00
